Gene	Log2FC	Corr
Lmo2	-4.472305171	0.327755521
Fetub	-4.468097948	4
Has1	-4.378557028	4
Slc10a6	-4.174829742	2.268230802
Klf4	-3.390434724	-0.002856167
Nr4a1	-2.890681876	1.730230093
Trib1	-2.822294326	0.667677864
Ptgs2	-2.82096169	-1.594269231
Nr4a2	-2.795671683	0.612670461
Pde4b	-2.702357346	-1.438233174
F2rl1	-2.513892397	0.80001357
Cxcl1	-2.453483016	-0.049769778
Sgk1	-2.42363528	-0.949996567
Gem	-2.404515823	2.074665209
Tgm2	-2.333091747	-2.186982562
Nr4a3	-2.281314485	1.215502751
Il6	-2.256950501	-1.000134432
Egr3	-2.236538685	-2.560508733
Hspa1a	-2.12153649	1.807215313
Birc3	-2.109478509	1.24760878
Fosb	-2.109142794	3.006882159
Gm41609	-2.0784005	#N/A
Maff	-2.063942494	1.000160047
Arc	-2.03164782	1.649304585
Nfkb1	-2.020818588	-0.060714982
Bhlhe40	-1.99265569	1.524978832
Plekho2	-1.99010385	1.405702775
Atf3	-1.938406893	1.613108214
Mpp7	-1.908554431	0.371711655
Cxcl2	-1.876931149	4
Pla1a	-1.873666265	4
Tnfaip6	-1.785481711	-4
Cebpb	-1.722567008	0.562134528
Zfp36	-1.717597722	0.809843246
Tnfaip2	-1.634777244	-0.775630081
Adamts4	-1.610453164	1.495000758
Btg2	-1.606756967	1.046290178
Sbno2	-1.574195053	0.012468672
Ugdh	-1.568633675	-0.201568163
Phlda1	-1.548931203	-0.569622488
Gm26532	-1.518878648	#N/A
Gclc	-1.505846848	1.382831162
Lypla2	-1.453681217	-0.193015747
Smad3	-1.428710972	0.423689595
Adamts9	-1.379522381	0.00263652
Ier3	-1.374606384	1.142900059
Kdm6b	-1.366690499	1.128802179
Opa3	-1.305375022	-0.006564787
Tiparp	-1.140301147	0.174523455
Egr2	-1.131535459	-0.145689245
Dot1l	-1.033427783	0.256452907
Ier5	-1.023204963	1.522836736
Hsph1	-0.968775102	1.416790176
Kcnip1	-0.94724686	4
Nfkbia	-0.92414199	0.278826404
Sertad1	-0.86383526	1.606453462
Atp1b3	-0.83121797	0.516874987
Fosl2	-0.792923351	-0.096790892
Snai1	-0.729913062	1.868981982
Gm17268	-0.705406527	#N/A
Pim1	-0.659700798	-0.418771202
Nol12	-0.597547907	-0.252451678
Serpine1	-0.578725942	0.062178293
Ubash3b	-0.542091122	-0.375407209
Khdrbs3	-0.303814269	1.760215388
Nes	0.432506613	-0.381481541
Irf3	0.436368816	-0.482708547
Abce1	0.456335914	-0.319493697
Rnf217	0.69178345	-0.550847912
Rras2	0.76655473	0.244985678
Adam12	1.283728895	1.084709244
Sms	1.32695809	-0.615948244
Fbxo33	1.41700106	1.040166837
Depdc5	1.572064058	-0.297057244
Rgs2	1.826622888	3.43397906
Ell2	1.91472499	1.436050494
