ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	117.5	85.5	-81.5	-85	82	-131
Acetylsalicylic_acid	-138	-137	-140	-110	-130	-141
Alprenolol	-114	-111	120	-154	103	84
Amiloride	-129	-114	-100	-102	75	-161
Amlodipine	-119	-91	121.5	103.5	-83	-108
Atenolol	91	-90.5	146	74	-114	-93
Atorvastatin	168	152	151	135	156	-136.5
Benazepril	-118	-122	-140	-96	-113	-113
Bendroflumethiazide	-111	-86	-73	-130	-72	-87
Betaxolol	70	-87	-115.5	-101	-109	110
Bezafibrate	125.5	118.5	148	95	114	-88
Bisoprolol	142	122	127	124	119	154
Bumetanide	130	124	-107	166	103	170
Canrenoic_acid	-72.5	-92.5	-91	-102	-105	-139
Captopril	119	133	-146.5	-116	-138	-153
Carteolol	-70	-64	-88	91	-83	-65
Carvedilol	-94.5	-106.5	-91.5	-117.5	-120	-159.5
Cerivastatin	-98	90.5	127	74	-114	107
Chlorhexidine	-133	-129	96	-130	90	72
Chlorthalidone	50	48	-85.5	-31.5	56	-118.5
Cilnidipine	170	167	97	147	159	58
Cilostazol	85.5	94.5	92	105	103	81
Clofibrate	151	149	117	165	131	-167
Clopidogrel	-169	-167	-172	-134	-173	-169
Cyclopenthiazide	85	96	112	-103	-91	119
Digoxin	88	90	124	-120	-89	119
Dipyridamole	104.5	120.5	-134.5	-136	124.5	134
Dobutamine	-172	-171	-176	-148	-176	-96
Dopamine	-99.5	-105.5	100	-92	-106	50
Enalapril	-87.5	119.5	114.5	137.5	126	-97
Eprosartan	85.5	92.5	-119	136	-79	88
Esmolol	-151	-103	-167	-121	-142	-111
Etacrynic_acid	-126.5	115	-77	116	79	98
Etilefrine	-97	-83	81	-75	-82	108
Ezetimibe	-152	-144	-82	-165	98	-29
Felodipine	-104	-75	86.5	92.5	-112	166.5
Fenofibrate	-148	-158	-162	-119	-157	80
Fenoldopam	81.5	112.5	83.5	117.5	122	82.5
Gemfibrozil	143	135	141	91	148	-83
Hydroflumethiazide	-89	-100	116	-115	-92	104.5
Iloprost	105	108	-62	131	96	-79
Indapamide	-116	-102	-42	-152	-100	78
Irbesartan	84.5	102.5	111	101	103	123
Isradipine	-120	-124	104	-48	-143	-109
Labetalol	-112	108	-86	76	76	-101
Losartan	-142	-132	115	-126	-119	152
Lovastatin	64	73	105.5	-86.5	83	95
Menadione	-104	107.5	-113	138.5	120	-90
Mephentermine	65	-70	-129.5	-81	-91	-131
Metolazone	-122.5	-130.5	-101	-146.5	-104	106
Metoprolol	145.5	109.5	89	144	101	89
Midodrine	-102	-109	-114	-109	-97	165
Milrinone	159	167	159	152	171	-73
Moexipril	132	135	121	153	119	142
Nadolol	-88	-87	-124	98.5	-88	141
Niacin	144.5	157.5	81	-159.5	161	74
Nicardipine	122.5	131.5	124.5	144.5	138	74.5
Nicotinyl_alcohol	-70.5	107.5	115	-94	108	-91
Nifedipine	-128	-156	-98.5	-106	-161	-67
Nimodipine	-106.5	-115.5	-140.5	87	-113	136
Nitrendipine	120.5	122.5	132.5	113.5	128	126.5
Nitrofural	-112	94.5	89.5	135.5	93	148.5
Olmesartan	69.5	62.5	-86.5	94	66	-95
Ouabain	-111	-91	113	-160	-64	-116
Oxprenolol	-147	-140	106.5	-93	146.5	51
Perindopril	114.5	80.5	160	26	124	76
Pindolol	-79	-109	-136.5	136	-111	152
Piretanide	-91	76	53	91	63	119
Practolol	-97.5	-114.5	99	-117	-118	78.5
Pravastatin	156.5	153.5	163	155	150	168
Probucol	-138	-146	-156	135	-146	-121
Propranolol	-120	96.5	-108.5	55	-118	-113
Quinapril	-144	-134	-133	-87	-135	60
Quinethazone	103.5	-124.5	143.5	104.5	134	125.5
Ramipril	107	93	-74.5	102	78	-88.5
Rivaroxaban	170	173	152	162	167	83
Rosuvastatin	66	43	-85	82	48	-125
Simvastatin	174	171	160	130	158	-97
Sotalol	156	144	119	138	152	163
Spironolactone	-162	-145	106	-172	-129	103
Synephrine	-153	-158	-159	-148	-162	-120
Telmisartan	130	134	-154	138	120	-126
Ticlopidine	-106	85.5	131.5	106.5	83	112.5
Tienilic_acid	156	155	154	-111	154	-101
Timolol	-129.5	-117.5	-125	-115	-133	-149
Torasemide	96	87	-134.5	-56.5	91	-109.5
Treprostinil	-78	-127	-143.5	-114	-130	-114
Triamterene	107.5	93.5	81	-91	109	152
Valsartan	-105.5	-91.5	-76.5	-146	-99	92
Warfarin	-151	-154	-98	-146	-159	91
