V1	V2
1	Cxcl1	Hspa1a
2	Serpine1	Hspa1a
3	Cxcl1	Ier3
4	Cxcl1	Btg2
5	Serpine1	Btg2
6	Hspa1a	Btg2
7	Ier3	Btg2
8	Cxcl1	Nfkbia
9	Hspa1a	Nfkbia
10	Ier3	Nfkbia
11	Btg2	Nfkbia
12	Cxcl1	Tnfaip6
13	Ier3	Tnfaip6
14	Btg2	Tnfaip6
15	Nfkbia	Tnfaip6
16	Cxcl1	Klf4
17	Hspa1a	Klf4
18	Ier3	Klf4
19	Btg2	Klf4
20	Nfkbia	Klf4
21	Tnfaip6	Klf4
22	Cxcl1	Ugdh
23	Ier3	Ugdh
24	Nfkbia	Ugdh
25	Tnfaip6	Ugdh
26	Klf4	Ugdh
27	Cxcl1	Zfp36
28	Serpine1	Zfp36
29	Hspa1a	Zfp36
30	Ier3	Zfp36
31	Btg2	Zfp36
32	Nfkbia	Zfp36
33	Tnfaip6	Zfp36
34	Klf4	Zfp36
35	Cxcl1	Phlda1
36	Serpine1	Phlda1
37	Hspa1a	Phlda1
38	Ier3	Phlda1
39	Btg2	Phlda1
40	Nfkbia	Phlda1
41	Tnfaip6	Phlda1
42	Klf4	Phlda1
43	Zfp36	Phlda1
44	Cxcl1	Cebpb
45	Ier3	Cebpb
46	Btg2	Cebpb
47	Nfkbia	Cebpb
48	Klf4	Cebpb
49	Zfp36	Cebpb
50	Phlda1	Cebpb
51	Cxcl1	Nr4a1
52	Serpine1	Nr4a1
53	Hspa1a	Nr4a1
54	Ier3	Nr4a1
55	Btg2	Nr4a1
56	Nfkbia	Nr4a1
57	Tnfaip6	Nr4a1
58	Klf4	Nr4a1
59	Ugdh	Nr4a1
60	Zfp36	Nr4a1
61	Phlda1	Nr4a1
62	Cebpb	Nr4a1
63	Cxcl1	Nfkb1
64	Serpine1	Nfkb1
65	Hspa1a	Nfkb1
66	Ier3	Nfkb1
67	Btg2	Nfkb1
68	Nfkbia	Nfkb1
69	Tnfaip6	Nfkb1
70	Klf4	Nfkb1
71	Ugdh	Nfkb1
72	Zfp36	Nfkb1
73	Phlda1	Nfkb1
74	Cebpb	Nfkb1
75	Nr4a1	Nfkb1
76	Cxcl1	Cxcl2
77	Ier3	Cxcl2
78	Btg2	Cxcl2
79	Nfkbia	Cxcl2
80	Tnfaip6	Cxcl2
81	Klf4	Cxcl2
82	Ugdh	Cxcl2
83	Zfp36	Cxcl2
84	Phlda1	Cxcl2
85	Cebpb	Cxcl2
86	Nr4a1	Cxcl2
