V1	V2
1	Lyz2	Ctss
2	Lyz2	Cst3
3	Ctss	Cst3
4	Lyz2	Tmsb4x
5	Ctss	Tmsb4x
6	Cst3	Tmsb4x
7	Lyz2	Cxcl3
8	Ctss	Cxcl3
9	Cst3	Cxcl3
10	Tmsb4x	Cxcl3
11	Lyz2	Rpl37a
12	Ctss	Rpl37a
13	Cst3	Rpl37a
14	Tmsb4x	Rpl37a
15	Cxcl3	Rpl37a
16	Lyz2	Rps27a
17	Ctss	Rps27a
18	Cst3	Rps27a
19	Tmsb4x	Rps27a
20	Cxcl3	Rps27a
21	Rpl37a	Rps27a
22	Lyz2	Tyrobp
23	Ctss	Tyrobp
24	Cst3	Tyrobp
25	Tmsb4x	Tyrobp
26	Cxcl3	Tyrobp
27	Rpl37a	Tyrobp
28	Rps27a	Tyrobp
29	Lyz2	Rps29
30	Ctss	Rps29
31	Tmsb4x	Rps29
32	Cxcl3	Rps29
33	Rpl37a	Rps29
34	Rps27a	Rps29
35	Tyrobp	Rps29
36	Lyz2	Rpl32
37	Ctss	Rpl32
38	Cst3	Rpl32
39	Tmsb4x	Rpl32
40	Cxcl3	Rpl32
41	Rpl37a	Rpl32
42	Rps27a	Rpl32
43	Tyrobp	Rpl32
44	Rps29	Rpl32
45	Ctss	Slpi
46	Tmsb4x	Slpi
47	Cxcl3	Slpi
48	Rpl37a	Slpi
49	Rps27a	Slpi
50	Rpl32	Slpi
51	Lyz2	Rps18
52	Ctss	Rps18
53	Cst3	Rps18
54	Tmsb4x	Rps18
55	Cxcl3	Rps18
56	Rpl37a	Rps18
57	Rps27a	Rps18
58	Tyrobp	Rps18
59	Rps29	Rps18
60	Rpl32	Rps18
61	Slpi	Rps18
62	Lyz2	Rps4x
63	Ctss	Rps4x
64	Tmsb4x	Rps4x
65	Cxcl3	Rps4x
66	Rpl37a	Rps4x
67	Rps27a	Rps4x
68	Tyrobp	Rps4x
69	Rps29	Rps4x
70	Rpl32	Rps4x
71	Slpi	Rps4x
72	Rps18	Rps4x
73	Lyz2	Rpl41
74	Ctss	Rpl41
75	Cst3	Rpl41
76	Tmsb4x	Rpl41
77	Cxcl3	Rpl41
78	Rpl37a	Rpl41
79	Rps27a	Rpl41
80	Tyrobp	Rpl41
81	Rps29	Rpl41
82	Rpl32	Rpl41
83	Slpi	Rpl41
84	Rps18	Rpl41
85	Rps4x	Rpl41
86	Lyz2	Rps19
87	Ctss	Rps19
88	Cst3	Rps19
89	Tmsb4x	Rps19
90	Cxcl3	Rps19
91	Rpl37a	Rps19
92	Rps27a	Rps19
93	Tyrobp	Rps19
94	Rps29	Rps19
95	Rpl32	Rps19
96	Slpi	Rps19
97	Rps18	Rps19
98	Rps4x	Rps19
99	Rpl41	Rps19
100	Lyz2	Rpl13
101	Ctss	Rpl13
102	Cst3	Rpl13
103	Tmsb4x	Rpl13
104	Cxcl3	Rpl13
105	Rpl37a	Rpl13
106	Rps27a	Rpl13
107	Tyrobp	Rpl13
108	Rps29	Rpl13
109	Rpl32	Rpl13
110	Slpi	Rpl13
111	Rps18	Rpl13
112	Rps4x	Rpl13
113	Rpl41	Rpl13
114	Rps19	Rpl13
115	Lyz2	Rps8
116	Ctss	Rps8
