ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	96	110	116.5	116.5	120	-124
Acetylsalicylic_acid	99	-92	-101	-72	77	-67
Alprenolol	-95.5	-90.5	-125	-87	-93	-133
Amiloride	134	148	154	134.5	151	131
Amlodipine	-142.5	-120.5	-97	-138	-119	-90
Atenolol	59.5	93.5	108.5	62.5	77	99.5
Atorvastatin	-81	-88	-109	-101	-104	-121
Benazepril	159.5	160.5	164	159	157	152
Bendroflumethiazide	-102.5	-130.5	-125	-122	-80	-125
Betaxolol	96	138	147	124	138	120
Bezafibrate	-62	39	-50	56	45	100
Bisoprolol	74	68	94.5	80	103	124
Bumetanide	-80.5	-60.5	-64	-67	62	111
Canrenoic_acid	142.5	142.5	143	152	152	162
Captopril	-122	94	-108	-120	90	-86
Carteolol	-168	-159	-158	-169	-166	-166
Carvedilol	91	106	-110	118.5	-116	-113
Cerivastatin	-138.5	-141.5	-77	-65	-138	-102
Chlorhexidine	-66.5	-75.5	-92	-82.5	-99	-51
Chlorthalidone	129	154	-159	145	156	141
Cilnidipine	-134	-149	-153	-151	-152	-126
Cilostazol	-133.5	-120.5	95	98	-114	-111
Clofibrate	-21.5	85	105	76	80	93
Clopidogrel	140	-139	-123	-141	-132	-124
Cyclopenthiazide	145	158	91	89	154	147
Digoxin	106	123	120	100.5	124	-102
Dipyridamole	-144	-140	-108	-115	-136	-128
Dobutamine	-89	-117	104	-114	-125	108
Dopamine	86	114	105.5	118	124	114.5
Enalapril	-99	-115	127	-129.5	-106	-83
Eprosartan	127	92	49	37	122	136
Esmolol	76	94	103	104.5	-103	93
Etacrynic_acid	-89.5	-105.5	-99.5	-110	-106	-99
Etilefrine	129.5	127.5	-94	-134	130	123
Ezetimibe	122	-130	-157	-121	-145	136
Felodipine	99	125	-124	119	134	-115
Fenofibrate	-112	-126	105	-125	-128	-103
Fenoldopam	-78	-131	-139	-103.5	-129	-96
Gemfibrozil	18	71	89	51.5	94	66
Hydroflumethiazide	-111.5	-95.5	-131	-95	-108	-100
Iloprost	-95	-132	-125	-130	-144	-121
Indapamide	-120.5	97	101	58	-120.5	95
Irbesartan	127	148	140	144	142	157
Isradipine	-101	-122	-120	-108	-135	-110
Labetalol	-94	-78	-74	-97	-81	85
Losartan	139.5	98.5	-117	144	83	-122
Lovastatin	-133.5	-118.5	-135	-126	-128	117
Menadione	-145	-149	-111	-99	-150	-130
Mephentermine	-102.5	-126.5	-147.5	-128.5	-129	-101.5
Metolazone	83	99	130	86	104	-93
Metoprolol	-85	-117	-92	-82	-129	-98
Midodrine	105.5	74.5	81	87	75	-99
Milrinone	114	98	107	-115.5	133	149
Moexipril	59	68	-96	-54	67	-81
Nadolol	128	-84	92	-60	-124	-150
Niacin	-135	-160	-157	-125	144	-155
Nicardipine	115	120	122	118.5	108	125
Nicotinyl_alcohol	168	177	165	166	176	159
Nifedipine	-74.5	-104.5	100	-81	-108	64
Nimodipine	46	-55	-100	64.5	-53	-110
Nitrendipine	-143	-160	-150	-161	-164	-142
Nitrofural	100.5	114.5	-113	124.5	108	112
Olmesartan	59	-71.5	-75	-82.5	71	-114
Ouabain	132	-150	-156	-146	-157	117.5
Oxprenolol	117	-99	96	80	-104	138
Perindopril	108.5	131.5	129	132	119	94
Pindolol	-170	-176	-173	-171	-173	-170
Piretanide	122.5	-88	-91	149.5	-104	-136
Practolol	-119	-101	124	-135	-99	101
Pravastatin	85	102	100	108	104	62
Probucol	93	92	-117	89.5	103	-127
Propranolol	40.5	77.5	96	87	85	-68
Quinapril	138	137	152	99.5	155	150
Quinethazone	71.5	93.5	114	57	80	48
Ramipril	-54	57.5	64	85.5	-84	-123
Rivaroxaban	143	156	130	120.5	154	136
Rosuvastatin	-156	-114	-119	-93	-113	-167
Simvastatin	64	40	75	52	49	74
Sotalol	-131	-130	-99	-153	-96	-105
Spironolactone	-140.5	-143.5	156	148.5	154	128
Synephrine	-76	-71	-70	-81.5	-68	-72
Telmisartan	-121	-111	-115	-140.5	91	103
Ticlopidine	-109.5	94	79	79.5	87	-90.5
Tienilic_acid	-115	-114	-123	-115	-117	-89
Timolol	-15	-46	-80.5	-48	-62	-88
Torasemide	144	70	-97	68	38	98
Treprostinil	39	77	-99	-61	-84	-64
Triamterene	139	118	112	108	116	-130
Valsartan	-141	-132	-139	-142	-142	-158
Warfarin	110.5	135.5	120.5	132	123	141
